FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTOR ID,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
Oaks Social Club                    ,"149 Oak STREET,  Syracuse",03/17/2015,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,4,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,149 Oak STREET,Syracuse,13203    ,330100,SYRACUSE,Oaks Social Club,01/31/2017,,,Polge,Julien,566934,Inspection,,,NY,"(43.054906, -76.133328)"
SMG @ Civic Center Theatres         ,"421 Montgomery  STREET,  Syracuse",11/23/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,421 Montgomery  STREET,Syracuse,13202    ,330100,SYRACUSE,SMG @ Civic Center Theatres,01/31/2017,,SMG,Harris,Jody,813149,Inspection,,Conditions satisfactory at this time.,NY,"(43.046462, -76.148725)"
"La Mode Cafe & Catering, A","331 Nottingham ROAD,  Syracuse",02/23/2016,"Item  1B-  Critical Violation [RED] Water/ice: unsafe, unapproved sources, cross connections; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,331 Nottingham ROAD,Syracuse,13210    ,335300,DEWITT,A La Mode Cafe & Catering,01/31/2017,,"J-Ram Deli, Inc.",Catalfano,Jeanne,741200,Inspection,,Red item corrected at this time.,NY,"(43.028663, -76.111434)"
SU Carrier Dome Vending #267A       ,"900 Irving AVENUE,  Syracuse",09/12/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,900 Irving AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Carrier Dome Vending #267A,01/31/2017,,Syracuse University,Gallipeau,Jean,293437,Inspection,,,NY,"(43.037568, -76.13832)"
Bellgrove Missionary Baptist Soup Ki,"219 Martin Luther King West,  Syracuse",10/08/2015,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14A-   Insects, rodents present; ",0,0,2,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,219 Martin Luther King West  ,Syracuse,13204    ,330100,SYRACUSE,Bellgrove Missionary Baptist Soup Kitchen,01/31/2017,,Bellgrove Missionary Baptist Church,Spence Jr.,William,537568,Inspection,,,NY,"(43.032385, -76.151141)"
Eurest Dining Serv @ Syr Behavioral ,"847 James STREET,  Syracuse",06/04/2015,"Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",1,0,4,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,847 James STREET,Syracuse,13203    ,330100,SYRACUSE,Eurest Dining Services @ Syr. Behavioral Health,01/31/2017,,Eurest Dining Services,Rossitch,Richard,294704,Inspection,,,NY,"(43.056781, -76.139591)"
American Legion Post #1361          ,"1951 WEST Fayette STREET,  Syracuse",10/13/2015,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,4,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,1951 WEST Fayette STREET,Syracuse,13204    ,330100,SYRACUSE,American Legion Post #1361,01/31/2017,,American Legion Post # 1361,Kapelewski,John,292589,Inspection,,,NY,"(43.054691, -76.186122)"
SU Orange Pack Room                 ,"900 Irving  AVENUE,  Syracuse",09/17/2015,"Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; ",0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,900 Irving  AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Orange Pack Room,01/31/2017,,Syracuse University ,Gallipeau,Jean ,292986,Inspection,,,NY,"(43.037568, -76.13832)"
Nibsy's Pub                         ,"201 Ulster STREET,  Syracuse",10/13/2015,"Item  1H-  Critical Violation [RED] Food from unapproved source, spoiled, adulterated on premises.; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,8,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,201 Ulster STREET,Syracuse,13204    ,330100,SYRACUSE,Nibsy's Pub,01/31/2017,,"201 Ulster Street, Inc.",Mullen,Robert,293233,Inspection,,,NY,"(43.049587, -76.181427)"
Boulangerie                         ,"526 Plum STREET,  Syracuse",10/15/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,526 Plum STREET,Syracuse,13204    ,330100,SYRACUSE,Boulangerie,01/31/2017,,Boulangerie LTD.,Paglia,James,294280,Re-Inspection,,All hazards/violations cited during previous routine inspection noted corrected at this time.  Recommend abate.,NY,"(43.055983, -76.159215)"
First English Lutheran Church       ,"501 James STREET,  Syracuse",03/04/2016,"Item  2A-  Critical Violation [RED] Prepared food products contact equipment or work surfaces which have had prior contact with raw foods and where washing and sanitizing of the food contact surface has not occurred to prevent contamination; Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; ",1,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,501 James STREET,Syracuse,13203    ,330100,SYRACUSE,First English Lutheran Church,01/31/2017,,First English Lutheran Church,,,293328,Inspection,,,NY,"(43.053667, -76.145925)"
Dr. King Elementary School          ,"416 EAST RAYNOR AVENUE,  SYRACUSE",07/07/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,416 EAST RAYNOR AVENUE,SYRACUSE,13202    ,330000,ONONDAGA COUNTY,Dr. King Elementary School/Inactive,,,Syracuse City School Distrist,Marchbanks,Annette,467103,Inspection,,,NY,"(43.030014, -76.150437)"
Moe's Southwest Grill               ,"3409 Erie Boulevard East,  Syracuse",09/09/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3409 Erie Boulevard East  ,Syracuse,13214    ,335300,DEWITT,Moe's Southwest Grill,01/31/2017,,"Southwest Grill of Dewitt, LLC",Searles,Scott,762539,Inspection,,,NY,"(43.046912, -76.069482)"
Jreck Subs                          ,"6376 Thompson ROAD,  Syracuse",04/28/2016,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; ",1,0,6,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,6376 Thompson ROAD,Syracuse,13206    ,335300,DEWITT,Jreck Subs,01/31/2017,,Syracuse Fast Food Corp. East,Lynch,Patricia,293694,Inspection,,,NY,"(43.079685, -76.089147)"
Caramelcorn Shoppe                  ,"9828 Destiny USA Drive,  Syracuse",06/08/2015,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; ",0,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,9828 Destiny USA Drive  ,Syracuse,13204    ,330100,SYRACUSE,Caramelcorn Shoppe,01/31/2017,,"Tri-Karm, Inc.",Hassler,Laford,294686,Inspection,,,NY,"(43.070753, -76.170207)"
SU Carrier Dome Vending #264        ,"900 Irving AVENUE,  Syracuse",09/12/2015,Item 11D-   Non food contact surfaces of equipment not clean; ,0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,900 Irving AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Carrier Dome Vending #264,01/31/2017,,Syracuse University,Gallipeau,Jean,292997,Inspection,,,NY,"(43.037568, -76.13832)"
Eurest Dining Services @ National Gr,"300 Erie Boulevard West,  Syracuse",10/08/2015,"Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item  8B-   In use food dispensing utensils improperly stored; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); ",1,0,2,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,300 Erie Boulevard West  ,Syracuse,13202    ,330100,SYRACUSE,Eurest Dining Services @ National Grid,01/31/2017,,Eurest Dining Services,Rossitch,Richard,547257,Inspection,,,NY,"(43.050993, -76.155565)"
SU Carrier Dome Stand #160          ,"900 Irving AVENUE,  Syracuse",09/12/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,900 Irving AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Carrier Dome Stand #160,01/31/2017,,Syracuse University,Gallipeau,Jean,292989,Inspection,,,NY,"(43.037568, -76.13832)"
Lost Horizon                        ,"5863 Thompson ROAD,  Syracuse",10/09/2015,"Item 11D-   Non food contact surfaces of equipment not clean; Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,4,Food Service Establishment - Tavern,Onondaga County,ONONDAGA,5863 Thompson ROAD,Syracuse,13214    ,330100,SYRACUSE,Lost Horizon,01/31/2017,,"Lost Horizon, Inc.",Hanus,Mary Sue,292604,Inspection,,Establishment should contact their pest control company and send latest service report/summary to local health department. Fax to 435-6606 or email to foodprotection.net.,NY,"(43.054911, -76.085773)"
Empire Buffet                       ,"3179 Erie Boulevard East,  Syracuse",12/11/2015,"Item  2A-  Critical Violation [RED] Prepared food products contact equipment or work surfaces which have had prior contact with raw foods and where washing and sanitizing of the food contact surface has not occurred to prevent contamination; Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.; Item  9B-   Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",3,0,15,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3179 Erie Boulevard East  ,Syracuse,13214    ,335300,DEWITT,Empire Buffet,01/31/2017,,East Dewitt Restaurant Inc.,Gao,Yu,726291,Inspection,,,NY,"(43.053924, -76.07506)"
Faith Heritage School               ,"3740 MIDLAND AVENUE,  SYRACUSE",12/14/2015,Item  9C-   Hair is improperly restrained; ,0,0,1,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,3740 MIDLAND AVENUE,SYRACUSE,13205    ,330100,SYRACUSE,Faith Heritage School,12/31/2017,,Faith Heritage School,Capone, Neal,466873,Inspection,,,NY,"(43.003302, -76.147132)"
Onondaga Hill Presbyterian Church   ,"4797 Makyes ROAD,  Syracuse",05/19/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,4797 Makyes ROAD,Syracuse,13215    ,336100,ONONDAGA,Onondaga Hill Presbyterian Church,01/31/2017,,Onondaga Hill Presbyterian Church,,,293153,Inspection,,Satisfactory,NY,"(43.003017, -76.182831)"
LaCantina Tavern                    ,"722 Butternut STREET,  Syracuse",10/21/2015,"Item  3B-  Critical Violation [RED] Food workers do not wash hands thoroughly after visiting the toilet, coughing, sneezing, smoking or otherwise contaminating their hands.; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",1,0,2,Food Service Establishment - Tavern,Onondaga County,ONONDAGA,722 Butternut STREET,Syracuse,13208    ,330100,SYRACUSE,LaCantina Tavern,01/31/2017,,,Pelosi Jr.,Benny,292564,Inspection,,"**Notes: Establishment lacks sanitary gloves, but does not serve garnish with beverages and has guarded ice scoops.

Ensure hand sink properly set up at all times with hand soap, paper towels, annd empty basin as required.",NY,"(43.060719, -76.145516)"
Lookers                             ,"1400 NORTH Salina STREET,  Syracuse",07/23/2015,"Item  8B-   In use food dispensing utensils improperly stored; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,5,Food Service Establishment - Tavern,Onondaga County,ONONDAGA,1400 NORTH Salina STREET,Syracuse,13208    ,330100,SYRACUSE,Lookers,01/31/2017,,"Solid Gold Bar, Inc.",Tidd,Peter,293462,Inspection,,,NY,"(43.068054, -76.160624)"
Bethlehem Temple Church             ,"4629 SOUTH Salina STREET,  Syracuse",10/27/2015,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",2,0,3,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,4629 SOUTH Salina STREET,Syracuse,13205    ,330100,SYRACUSE,Bethlehem Temple Church,01/31/2017,,Bethlehem Temple Church,Walker,Rev. Leon,606457,Inspection,,,NY,"(43.002387, -76.142757)"
Coppertop Tavern                    ,"3380 Milton AVENUE,  Syracuse",06/02/2016,"Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",2,0,10,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3380 Milton AVENUE,Syracuse,13219    ,335000,CAMILLUS,Coppertop Tavern,01/31/2017,,"Coppertop Tavern Camillus, LLC",Giamartino,Daniel,718245,Inspection,,"Establishment has probe/metal-stem type thermometer onsite as required.


Add additional email to ehips",NY,"(43.055049, -76.234022)"
Schiller Park - Parks & Recreation  ,"1100 RUGBY ROAD,  SYRACUSE",08/05/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,1100 RUGBY ROAD,SYRACUSE,13203    ,330100,SYRACUSE,Schiller Park - Parks & Recreation,08/21/2015,,Syracuse City School Distrist,Marchbanks,Annette,526769,Inspection,,Conditions satisfactory for the summer lunch program at this time.,NY,"(43.06697, -76.135308)"
"PEACE, Inc. Southside Family Resourc","136 WEST Castle STREET,  Syracuse",08/04/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Food Preparation Site,Onondaga County,ONONDAGA,136 WEST Castle STREET,Syracuse,13205    ,330100,SYRACUSE,"PEACE, Inc. Southside Family Resource",08/07/2015,,Syracuse City School Distrist,Marchbanks,Annette,738993,Re-Inspection,,Re-inspection revealed turkey rolls noted at 55 Deg F for <2 hours.  Arrived at facility at 50 Deg F.   Most of the product has been distributed for lunch and remaining were put in a reach in cooler <45 Deg F.  Re-inspection not satisfactory,NY,"(43.032911, -76.149551)"
Salvation Army Adult Rehabilitation ,"2433 Erie Boulevard East,  Syracuse",08/12/2015,"Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",1,0,4,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,2433 Erie Boulevard East  ,Syracuse,13224    ,330100,SYRACUSE,Salvation Army Adult Rehabilitation Center,01/31/2017,,Salvation Army,,,294253,Inspection,,,NY,"(43.053738, -76.105134)"
SU Brockway Food Court              ,"401 Van Buren STREET,  Syracuse",04/22/2016,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,401 Van Buren STREET,Syracuse,13244    ,330100,SYRACUSE,SU Brockway Food Court,01/31/2017,,Syracuse University,Gallipeau,Jean,293689,Inspection,,,NY,"(43.03756, -76.14139)"
Eastwood Baptist Church             ,"3212 James STREET,  Syracuse",04/14/2016,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; ",0,0,2,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,3212 James STREET,Syracuse,13206    ,330100,SYRACUSE,Eastwood Baptist Church,01/31/2017,,Eastwood Baptist Church,,,555216,Inspection,,,NY,"(43.068975, -76.102369)"
Elmcrest Children's Center          ,"1204 Euclid AVENUE,  Syracuse",04/15/2016,Item 11D-   Non food contact surfaces of equipment not clean; ,0,0,1,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,1204 Euclid AVENUE,Syracuse,13210    ,330100,SYRACUSE,Elmcrest Children's Center,12/31/2018,,Elmcrest Children's Center,Earl,Gregory,788552,Inspection,,,NY,"(43.037001, -76.113803)"
Peter's Polar Parlor                ,"3345 Milton AVENUE,  Syracuse",04/20/2016,No violations found.,0,0,0,Food Service Establishment - Ice Cream Store,Onondaga County,ONONDAGA,3345 Milton AVENUE,Syracuse,13219    ,336100,ONONDAGA,Peter's Polar Parlor,01/31/2017,,"DPD Associates, Inc.",Haun,Peter,541837,Inspection,,Establishment noted acceptable at this time.  No hazards/violations found at this time.,NY,"(43.052892, -76.23697)"
Lincoln House                       ,"168  Lincoln AVENUE,  Syracuse",06/09/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,168  Lincoln AVENUE,Syracuse,13204    ,330100,SYRACUSE,Lincoln House,01/31/2017,,"Syracuse Brick House, Inc.",,,718246,Inspection,,,NY,"(43.037329, -76.157281)"
Island Garden Jerk Hut Restaurant   ,"440 South AVENUE,  Syracuse",04/26/2016,"Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,440 South AVENUE,Syracuse,13204    ,330100,SYRACUSE,Island Garden Jerk Hut Restaurant,01/31/2017,,,Hanslip,Irvin,293708,Inspection,,HM,NY,"(43.034944, -76.158962)"
Checkered Flag Pizzeria & Family Res,"425-427 Milton AVENUE,  Syracuse",01/06/2016,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,425-427 Milton AVENUE,Syracuse,13204    ,330100,SYRACUSE,Checkered Flag Pizzeria & Family Restaurant,01/31/2017,,"JPAS's, Inc.",Sokolowski,John Paul,606091,Inspection,,Seating capacity 34,NY,"(43.050198, -76.188218)"
Coleman's Authentic Irish Pub       ,"100 SOUTH Lowell AVENUE,  Syracuse",02/23/2016,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item  9C-   Hair is improperly restrained; Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,14,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,100 SOUTH Lowell AVENUE,Syracuse,13204    ,330100,SYRACUSE,Coleman's Authentic Irish Pub,01/31/2017,,,Coleman,Peter,292618,Inspection,,,NY,"(43.047643, -76.181451)"
Westmoreland Community Center       ,"130 WESTMORELAND AVENUE,  SYRACUSE",07/15/2013,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",0,0,2,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,130 WESTMORELAND AVENUE,SYRACUSE,13224    ,330000,ONONDAGA COUNTY,Parks & Recreation Westmoreland Community/Inactive,08/16/2002,,Syracuse City School Distrist,Marchbanks,Annette,467327,Inspection,,,NY,"(43.050795, -76.11507)"
Boys & Girls Club 212 Van Buren St. ,"212 VAN BUREN STREET,  SYRACUSE",07/17/2013,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ,0,0,1,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,212 VAN BUREN STREET,SYRACUSE,13202    ,330100,SYRACUSE,Boys & Girls Club 212 Van Buren St.,,,Food Bank of Central New York,,,526770,Inspection,,,NY,"(43.037396, -76.144523)"
J&C Sports Nutrition                ,"3440 WEST Genesee  STREET,  Syracuse",01/20/2016,"Item  1H-  Critical Violation [RED] Food from unapproved source, spoiled, adulterated on premises.; Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; ",3,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,3440 WEST Genesee  STREET,Syracuse,13219    ,335000,CAMILLUS,J&C Sports Nutrition,01/31/2017,,"J&C Sports Nutrition, Inc.",Frezza,James,815774,Inspection,,"No reinspection recommended at this time based on the following: Establishment lacks probe/metal-stem type thermometer, but milk is the only potentially hazardous product kept onsite.  Probe/metal-stem type thermometer would only be used to periodically test temperature of milk to ensure product maintained at/below 45F.  All milk noted at/below 45F during this inspection and currently stored in adequately working reaach-in cooler.  Operator intends to obtain probe/metal-stem thermometer later today.",NY,"(43.048381, -76.230956)"
Dilauro's Bakery & Pizza Shop       ,"502 EAST Division STREET,  Syracuse",03/01/2016,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",1,0,1,Food Service Establishment - Bakery,Onondaga County,ONONDAGA,502 EAST Division STREET,Syracuse,13208    ,330100,SYRACUSE,Dilauro's Bakery & Pizza Shop,01/31/2017,,Dilauro's Bakery Inc.,Waverchak,Paul,293105,Inspection,,,NY,"(43.061512, -76.150585)"
